rt,spectrum,mz,intensity
1200.042,395,544.276824,1034
1200.042,400,544.276824,1108
1200.042,401,544.273174,1159
1200.042,419,585.295962,1039
1200.042,428,513.268518,1078
1200.042,443,513.272062,1221
1200.042,445,513.268518,1479
1200.042,446,513.272062,1120
1200.042,447,513.272062,1354
1200.042,448,513.272062,1440
1200.042,448,530.297013,1211
1200.042,449,513.275607,1265
1200.042,450,513.272062,2290
1200.042,450,530.297013,1282
1200.042,451,513.272062,2278
1200.042,451,530.297013,1211
1200.042,452,513.264973,2575
1200.042,452,530.297013,1157
1200.042,453,513.272062,2494
1200.042,453,530.297013,1250
1200.042,454,513.272062,2029
1200.042,454,514.272102,1209
1200.042,454,530.297013,2000
1200.042,455,513.268518,2327
1200.042,455,530.297013,1612
1200.042,456,513.272062,3519
1200.042,456,530.29341,1722
1200.042,457,513.268518,2150
1200.042,457,530.300615,1241
1200.042,458,513.272062,2130
1200.042,458,514.27565,1206
1200.042,458,530.297013,1169
1200.042,459,513.268518,1562
1200.042,459,530.300615,1273
1200.042,460,530.297013,1196
1200.042,461,513.268518,1231
1200.042,461,530.297013,1083
1200.042,462,513.275607,1314
1200.042,463,513.268518,1005
1200.584,382,585.292177,1027
1200.584,398,544.280474,1017
1200.584,424,585.295962,1004
1200.584,430,513.268518,1032
1200.584,446,513.272062,1713
1200.584,447,513.268518,1172
1200.584,448,513.264973,1286
1200.584,448,530.297013,1195
1200.584,449,513.264973,1528
1200.584,449,514.272102,1029
1200.584,449,530.29341,1471
1200.584,450,513.272062,2708
1200.584,450,514.27565,1182
1200.584,450,530.297013,1313
1200.584,451,513.268518,2153
1200.584,451,514.268554,1019
1200.584,451,530.29341,1291
1200.584,452,513.272062,2395
1200.584,452,530.297013,1861
1200.584,453,513.272062,1681
1200.584,453,514.268554,1125
1200.584,453,530.29341,1580
1200.584,454,513.268518,2392
1200.584,454,514.27565,1451
1200.584,454,530.297013,2234
1200.584,455,513.268518,2059
1200.584,455,530.29341,2469
1200.584,456,513.268518,2242
1200.584,456,530.29341,2330
1200.584,457,513.268518,1666
1200.584,457,530.297013,1642
1200.584,458,513.268518,2923
1200.584,458,514.27565,1024
1200.584,458,530.297013,1135
1200.584,459,513.268518,2046
1200.584,459,530.297013,1390
1200.584,460,513.268518,2496
1200.584,462,530.297013,1306
1201.125,416,585.295962,1099
1201.125,428,513.268518,1007
1201.125,445,513.268518,1731
1201.125,446,513.268518,1252
1201.125,446,530.300615,1061
1201.125,447,513.268518,1744
1201.125,448,513.268518,1714
1201.125,448,530.297013,1123
1201.125,449,513.268518,1071
1201.125,449,530.29341,1292
1201.125,450,513.272062,2004
1201.125,450,530.297013,1108
1201.125,451,513.272062,2930
1201.125,452,513.272062,1982
1201.125,452,514.272102,1104
1201.125,452,530.297013,1605
1201.125,453,513.268518,2351
1201.125,453,530.297013,1999
1201.125,454,513.268518,2101
1201.125,454,530.297013,1763
1201.125,455,530.297013,1873
1201.125,456,513.272062,2657
1201.125,456,530.29341,1205
1201.125,457,513.268518,1892
1201.125,457,514.27565,1019
1201.125,457,530.300615,1761
1201.125,458,513.268518,1064
1201.125,458,530.29341,1094
1201.125,459,513.268518,1746
1201.125,459,530.300615,1099
1201.125,460,513.272062,1701
1201.125,460,530.29341,1560
1201.125,461,513.272062,2081
1201.125,462,513.268518,1171
1201.125,465,530.297013,1044
1201.125,470,536.171377,1131
1201.668,433,530.297013,1328
1201.668,435,530.297013,1009
1201.668,436,513.268518,1124
1201.668,444,513.275607,1271
1201.668,447,513.272062,1124
1201.668,448,513.272062,1951
1201.668,448,530.300615,1233
1201.668,449,513.272062,1356
1201.668,450,513.268518,2335
1201.668,451,513.272062,1807
1201.668,452,513.272062,1976
1201.668,452,530.300615,1171
1201.668,453,513.272062,1485
1201.668,453,530.300615,1869
1201.668,454,513.272062,1954
1201.668,454,530.29341,1403
1201.668,455,513.272062,2717
1201.668,455,530.297013,1246
1201.668,456,513.268518,2587
1201.668,456,530.297013,1037
1201.668,457,513.272062,1849
1201.668,457,530.297013,2011
1201.668,458,513.268518,1819
1201.668,458,530.297013,2121
1201.668,459,513.268518,1615
1201.668,459,514.27565,1029
1201.668,459,530.297013,1246
1201.668,460,513.268518,1857
1201.668,460,530.297013,1635
1201.668,461,513.272062,1707
1201.668,464,513.264973,1204
1201.668,468,536.167754,1022
1202.211,431,530.300615,1084
1202.211,442,513.268518,1099
1202.211,444,513.272062,1436
1202.211,445,513.272062,1119
1202.211,446,513.272062,1383
1202.211,447,513.268518,1029
1202.211,448,513.268518,2337
1202.211,449,513.268518,2212
1202.211,450,513.264973,1880
1202.211,450,530.297013,1252
1202.211,451,513.268518,2267
1202.211,451,530.29341,1026
1202.211,452,513.268518,2520
1202.211,453,513.268518,2106
1202.211,453,530.29341,1205
1202.211,454,513.272062,1958
1202.211,454,530.300615,1247
1202.211,455,513.272062,1762
1202.211,455,530.29341,1062
1202.211,456,513.268518,2141
1202.211,456,530.297013,1001
1202.211,457,513.268518,1320
1202.211,458,513.268518,1559
1202.211,458,530.29341,1232
1202.211,459,513.268518,1619
1202.211,459,530.297013,1672
1202.211,460,513.268518,1072
1202.211,461,513.268518,1225
1202.211,462,513.268518,1242
1202.211,463,513.272062,1237
1202.211,466,536.164131,1011
1202.211,470,536.167754,1054
1202.752,437,530.300615,1145
1202.752,444,513.268518,1251
1202.752,445,530.297013,1021
1202.752,446,513.275607,1054
1202.752,447,513.268518,1380
1202.752,448,513.275607,1289
1202.752,450,513.268518,1766
1202.752,451,513.264973,1541
1202.752,452,513.268518,1667
1202.752,452,530.297013,1314
1202.752,453,513.268518,2139
1202.752,454,513.264973,1675
1202.752,454,530.29341,1294
1202.752,455,513.268518,1546
1202.752,455,530.29341,1334
1202.752,456,513.268518,1811
1202.752,456,530.297013,1178
1202.752,457,513.268518,1314
1202.752,458,513.268518,1592
1202.752,459,513.264973,1004
1202.752,460,513.264973,1417
1202.752,460,530.29341,1198
1202.752,461,513.272062,1117
1202.752,470,536.164131,1004
1203.293,447,513.268518,1019
1203.293,448,513.272062,1003
1203.293,450,513.268518,1533
1203.293,451,513.268518,1244
1203.293,452,513.272062,1135
1203.293,453,530.300615,1171
1203.293,454,513.272062,1363
1203.293,454,530.300615,1044
1203.293,455,513.268518,1546
1203.293,455,530.297013,1181
1203.293,456,513.268518,1303
1203.293,457,513.268518,1827
1203.293,458,530.297013,1130
1203.293,459,513.272062,1277
1203.293,459,530.300615,1001
1203.293,460,513.268518,1191
1203.84,429,530.297013,1016
1203.84,447,513.268518,1213
1203.84,449,513.264973,1412
1203.84,450,513.268518,1042
1203.84,451,513.268518,1751
1203.84,452,513.268518,1264
1203.84,453,513.268518,1606
1203.84,453,530.297013,1593
1203.84,454,513.268518,1849
1203.84,454,530.29341,1499
1203.84,455,513.268518,1269
1203.84,456,513.272062,1003
1203.84,457,513.268518,1113
1203.84,457,530.29341,1062
1203.84,458,513.272062,1381
1203.84,459,513.272062,1328
1203.84,460,513.268518,1116
1203.84,461,530.297013,1047
1203.84,462,513.268518,1169
1204.383,362,577.257823,1052
1204.383,420,517.167759,1044
1204.383,448,513.272062,1072
1204.383,450,513.272062,1285
1204.383,451,513.272062,1578
1204.383,454,530.29341,1093
1204.383,455,513.272062,1162
1204.383,457,513.268518,1190
1204.383,458,513.268518,1527
1204.383,459,513.268518,1085
1204.383,460,513.268518,1185
1204.383,465,536.167754,1321
1204.383,470,536.164131,1006
1204.925,361,577.257823,1132
1204.925,365,577.261582,1145
1204.925,433,530.297013,1215
1204.925,450,513.272062,1266
1204.925,453,513.272062,1378
1205.467,359,577.261582,1258
1205.467,362,577.257823,1068
1205.467,363,577.261582,1177
1205.467,366,577.254064,1404
1205.467,367,577.261582,1044
1205.467,368,577.257823,1034
1205.467,449,513.275607,1034
1205.467,468,536.171377,1015
1206.008,359,577.257823,1086
1206.008,360,577.257823,1926
1206.008,363,577.257823,2228
1206.008,365,577.261582,1821
1206.008,367,577.261582,1115
1206.008,368,577.261582,1312
1206.008,388,535.190069,1167
1206.008,426,517.174875,1107
1206.008,452,513.264973,1044
1206.008,454,513.268518,1125
1206.55,356,577.257823,1288
1206.55,360,577.261582,1251
1206.55,361,577.261582,1794
1206.55,362,577.265341,1102
1206.55,363,577.257823,1285
1206.55,364,577.257823,1331
1206.55,364,577.2691,1134
1206.55,365,577.257823,1248
1206.55,366,577.257823,1813
1206.55,367,577.261582,1389
1206.55,368,577.257823,1341
1206.55,369,577.257823,1272
1206.55,370,577.257823,1447
1206.55,371,577.265341,1134
1206.55,384,535.18645,1156
1206.55,421,517.174875,1084
1207.092,358,577.257823,1330
1207.092,359,577.265341,1132
1207.092,360,577.257823,1683
1207.092,362,577.261582,1627
1207.092,362,578.265665,1001
1207.092,363,577.257823,2172
1207.092,364,577.257823,1335
1207.092,368,577.254064,1231
1207.092,373,577.261582,1079
1207.092,385,535.18283,1474
1207.092,387,535.18283,1349
1207.092,388,535.18283,1012
1207.092,392,535.18283,1060
1207.092,428,517.171317,1017
1207.092,468,536.164131,1306
1207.092,470,536.167754,1135
1207.636,358,577.261582,1290
1207.636,359,577.254064,1492
1207.636,360,577.254064,2070
1207.636,361,577.261582,1522
1207.636,361,578.261903,1482
1207.636,363,577.257823,1371
1207.636,364,577.257823,1668
1207.636,365,577.265341,1217
1207.636,366,577.261582,1689
1207.636,367,577.261582,1228
1207.636,368,577.261582,1201
1207.636,370,577.257823,1274
1207.636,388,517.171317,1006
1207.636,389,535.18283,1141
1207.636,390,535.18283,1050
1207.636,423,517.171317,1120
1208.181,358,577.254064,1238
1208.181,359,577.257823,1230
1208.181,360,577.261582,1556
1208.181,361,577.254064,1583
1208.181,362,577.261582,2182
1208.181,364,577.257823,1471
1208.181,365,577.257823,1583
1208.181,366,577.257823,1433
1208.181,368,577.261582,1050
1208.181,369,577.261582,1550
1208.181,370,577.261582,1014
1208.181,386,535.175592,1126
1208.181,388,535.179211,1011
1208.181,390,535.179211,1288
1208.724,358,577.257823,1127
1208.724,359,577.265341,1050
1208.724,360,577.261582,1232
1208.724,361,577.257823,1857
1208.724,363,577.257823,1779
1208.724,364,577.257823,1406
1208.724,367,577.261582,1130
1208.724,387,535.18283,1122
1208.724,389,535.18645,1017
1208.724,474,536.167754,1017
1209.268,359,577.261582,1047
1209.268,360,577.257823,1279
1209.268,361,577.261582,1204
1209.268,363,577.261582,1251
1209.268,364,577.257823,1556
1209.268,365,577.254064,1273
1209.268,368,577.254064,1055
1209.268,386,535.179211,1016
1209.268,468,536.160509,1086
1209.813,359,577.257823,1036
1209.813,362,577.257823,1095
1209.813,363,577.265341,1205
1209.813,364,577.254064,1084
1209.813,368,577.261582,1016
1210.357,365,577.257823,1622
1210.357,383,558.279549,1124
1210.357,465,507.147797,1178
1210.901,362,577.261582,1099
1210.901,365,577.261582,1473
1210.901,389,558.275853,1326
1210.901,394,558.272156,1689
1211.446,393,558.275853,1651
1211.446,396,558.272156,1509
1211.446,466,507.15132,1033
1211.446,470,536.171377,1404
1211.987,386,558.283246,1549
1211.987,388,558.272156,1103
1211.987,391,558.275853,1263
1211.987,392,558.279549,1643
1211.987,393,558.272156,1427
1211.987,394,558.275853,1342
1212.531,387,558.275853,1012
1212.531,388,558.275853,1860
1212.531,389,558.279549,1323
1212.531,389,559.281792,1015
1212.531,390,558.275853,1400
1212.531,391,558.275853,1599
1212.531,393,558.275853,1746
1212.531,394,558.279549,1778
1212.531,395,558.275853,1361
1212.531,396,558.275853,1112
1212.531,397,558.275853,1353
1212.531,470,517.270944,1185
1213.072,384,558.279549,1068
1213.072,387,558.275853,1589
1213.072,388,558.279549,1248
1213.072,389,558.275853,1239
1213.072,390,558.275853,1601
1213.072,392,558.279549,1468
1213.072,393,558.275853,1398
1213.072,394,558.275853,2169
1213.072,395,558.279549,1283
1213.072,396,558.275853,1145
1213.072,398,558.275853,1042
1213.072,400,558.286943,1024
1213.072,455,562.249396,1571
1213.072,457,562.245686,1039
1213.072,465,536.171377,1074
1213.072,474,536.167754,1139
1213.614,385,558.275853,1192
1213.614,387,558.275853,1977
1213.614,388,558.272156,1927
1213.614,390,558.275853,1774
1213.614,391,558.275853,2340
1213.614,392,558.279549,2329
1213.614,393,558.279549,1655
1213.614,394,558.275853,1629
1213.614,395,558.272156,1505
1213.614,396,558.275853,1331
1213.614,452,562.249396,1089
1213.614,453,562.256815,1160
1213.614,460,562.249396,1402
1214.155,387,558.275853,1491
1214.155,388,558.275853,1355
1214.155,389,558.275853,1335
1214.155,391,558.272156,1509
1214.155,392,558.279549,1900
1214.155,393,558.279549,1006
1214.155,394,558.279549,1160
1214.155,395,558.275853,1589
1214.155,452,562.253105,1192
1214.155,453,562.249396,2057
1214.155,455,562.253105,1024
1214.155,456,562.253105,1234
1214.155,457,562.249396,1278
1214.155,458,562.253105,1622
1214.155,459,562.245686,1127
1214.155,469,536.164131,1157
1214.155,471,536.164131,1181
1214.695,386,558.279549,1113
1214.695,387,558.275853,1160
1214.695,388,558.279549,1494
1214.695,389,558.275853,1332
1214.695,390,558.275853,1743
1214.695,392,558.283246,1391
1214.695,393,558.279549,1861
1214.695,394,558.279549,1027
1214.695,395,558.275853,1104
1214.695,451,562.249396,1598
1214.695,453,562.249396,1699
1214.695,454,562.253105,1190
1214.695,456,562.245686,1030
1214.695,457,562.249396,1225
1214.695,458,562.249396,1198
1214.695,465,536.164131,1317
1215.235,387,558.279549,1044
1215.235,388,558.275853,1364
1215.235,390,558.275853,1660
1215.235,391,558.272156,1607
1215.235,392,558.275853,1577
1215.235,393,558.279549,2163
1215.235,394,558.275853,1483
